title,day,date,month,year,event_type,series,body,city,venue
Documentary Screening: Beijing – A Changing City,Saturday,30,October,2010,Film Screening,Studio-X,"Studio-X hosts a special international documentary event in cooperation with the Beijing Cultural Heritage Protection Center. The two short documentaries being shown are <strong><em>Cycle of Change &ndash; Beijing My Old Home</em></strong> and <strong><em>New Beijing &ndash; Reinventing a City</em></strong>. The films will be followed by a discussion on the implications of development in Beijing and cultural heritage protection in China. The discussion will be in Chinese only. All proceeds will go towards CHP&rsquo;s Cultural Action Network (CAN) program.<br />
<br />
--<br />
<br />
<strong>Studio-X Beijing</strong><br />
A103, 46 Fangjia Hutong<br />
Andingmen Inner Street, Dongcheng District<br />
<br />
<em>Tickets 20RMB at the door</em>",Beijing,Studio-X Beijing
Potlatch Journal Launch,Thursday,28,October,2010,[object Object],Studio-X,"<strong>Studio-X New York</strong><br />
180 Varick Street<br />
<br />
Potlatch is the journal of the Potlatch Lab at GSAPP, Columbia University. A biannual publication, Potlatch collides the ancient notion of &#39;the gift&#39; with today&#39;s architectural practice and education.<br />
<br />
A presentation of Potlatch Issue # 1 will include a round table with first issue contributors + special guests. Drinks and music will be provided by the hosts.<br />
",New York,Studio-X NYC
The Underdome Sessions - Discussion 4: Risk,Thursday,21,October,2010,Panel,Studio-X,"The Underdome Sessions. Part 4: Risk&nbsp;&nbsp;<br />
October 21 Thursday at 6:30pm&nbsp;&nbsp;<br />
Studio-X, 180 Varick Street Suite 1610<br />
<br />
The Underdome Sessions is a series of panel discussions on energy and public life.<br />
Oct 12 Tue Part 1: Territory<br />
Oct 14 Thu Part 2: Power<br />
Oct 19 Tue Part 3: Lifestyle<br />
Oct 21 Thu Part 4: Risk<br />
<br />
Speakers:<br />
<strong>SCOTT HOLLADAY</strong>, NYU SCHOOL OF LAW INSTITUTE FOR POLICY INTEGRITY.<br />
<strong>CARY KROSINSKY</strong>, TRUCOST; author of SUSTAINABLE INVESTING: THE ART OF LONG TERM PERFORMANCE<br />
<strong>JONATHAN LEVY</strong>, PRINCETON UNIVERSITY DEPARTMENT OF HISTORY.<br />
<strong>MICHAEL OSMAN</strong>, moderator UCLA DEPARTMENT OF ARCHITECTURE AND URBAN DESIGN.<br />
<strong>ANDY THOMPSON</strong> ARUP RESILIENCE, SECURITY AND RISK.<br />
<strong>RAE ZIMMERMAN</strong> NYU ROBERT F. WAGNER GRADUATE SCHOOL OF PUBLIC SERVICE; NEW YORK CITY PANEL ON CLIMATE CHANGE; former president of the SOCIETY FOR RISK ANALYSIS.<br />
<br />
About Underdome:<br />
Underdome is an architect&#39;s guide to contending energy agendas. A cross between an architectural handbook and a voter&#39;s guide, the project maps approaches to the management of energy use to examine their implications for public life. Underdome catalogs a spectrum of positions argued by economists, environmentalists, community advocates, political scientists, and designers. In turn, it highlights in architecture questions of architectural agency, the contemporary city, and collective priorities in the face of ecological and economic uncertainty. The Underdome guide invites designers to use their interpretations of energy as forms of political action-as votes for possible futures. Underdome will launch an online guidebook and a series of panel discussions called &quot;The Underdome Sessions&quot; in October 2010.<br />
<br />
About the Organizers:<br />
Underdome is a project by <strong>ERIK CARVER</strong> and <strong>JANETTE KIM</strong>.&nbsp; It is supported by the Van Alen Institute New York Prize Fellowship 2010, the Urban Landscape Lab at Columbia University, and Columbia University Studio-X.<br />
<br />
All events will be held at Columbia University Studio-X, 180 Varick Street Suite 1610, and are free and open to the public.",New York,Studio-X NYC
The Underdome Sessions - Discussion 3: Lifestyle,Tuesday,19,October,2010,Panel,Studio-X,"The Underdome Sessions. Part 3: Lifestyle&nbsp;<br />
October 19 Tuesday at 7:00pm* NOTE TIME CHANGE<br />
Studio-X, 180 Varick Street Suite 1610<br />
<br />
The Underdome Sessions is a series of panel discussions on energy and public life.<br />
Oct 12 Tue Part 1: Territory<br />
Oct 14 Thu Part 2: Power<br />
Oct 19 Tue Part 3: Lifestyle<br />
Oct 21 Thu Part 4: Risk&nbsp;<br />
<br />
Speakers:<br />
<strong>SARAH BEATTY</strong>, GREEN DEPOT.<br />
<strong>JONATHAN MASSEY</strong>, moderator, SYRACUSE UNIVERSITY SCHOOL OF ARCHITECTURE; author of &quot;Necessary Beauty: Fuller&#39;s Sumptuary Aesthetic,&quot; and CRYSTAL AND ARABESQUE: CLAUDE BRAGDON, ORNAMENT, AND MODERN ARCHITECTURE.<br />
<strong>JERILYN PERINE</strong>, CITIZENS HOUSING AND PLANNING COUNCIL.<br />
<strong>HEATHER ROGERS</strong>, HeatherRogers.info; author of GREEN GONE WRONG: HOW OUR ECONOMY IS UNDERMINING THE ENVIRONMENTAL REVOLUTION, GONE TOMORROW: THE HIDDEN LIFE OF GARBAGE.<br />
<strong>MEREDITH TENHOOR</strong>, SCHOOL OF ARCHITECTURE AT PRATT INSTITUTE; and author of STREET VALUE: SHOPPING, PLANNING AND POLITICS AT FULTON MALL.<br />
<br />
About Underdome:<br />
Underdome is an architect&#39;s guide to contending energy agendas. A cross between an architectural handbook and a voter&#39;s guide, the project maps approaches to the management of energy use to examine their implications for public life. Underdome catalogs a spectrum of positions argued by economists, environmentalists, community advocates, political scientists, and designers. In turn, it highlights in architecture questions of architectural agency, the contemporary city, and collective priorities in the face of ecological and economic uncertainty. The Underdome guide invites designers to use their interpretations of energy as forms of political action-as votes for possible futures. Underdome will launch an online guidebook and a series of panel discussions called &quot;The Underdome Sessions&quot; in October 2010.<br />
<br />
About the Organizers:<br />
Underdome is a project by <strong>ERIK CARVER</strong> and <strong>JANETTE KIM</strong>.&nbsp; It is supported by the Van Alen Institute New York Prize Fellowship 2010, the Urban Landscape Lab at Columbia University, and Columbia University Studio-X.<br />
<br />
All events will be held at Columbia University Studio-X, 180 Varick Street Suite 1610, and are free and open to the public.",New York,Studio-X NYC
The Underdome Sessions - Discussion 2: Power,Thursday,14,October,2010,Panel,Studio-X,"The Underdome Sessions. Part 2: Power<br />
October 14 Thursday at 6:30pm<br />
Studio-X, 180 Varick Street Suite 1610<br />
<br />
The Underdome Sessions is a series of panel discussions on energy and public life.<br />
Oct 12 Tue Part 1: Territory<br />
Oct 14 Thu Part 2: Power<br />
Oct 19 Tue Part 3: Lifestyle<br />
Oct 21 Thu Part 4: Risk<br />
<br />
Speakers:<br />
<strong>MOSHE ADLER</strong>, PUBLIC INTEREST ECONOMICS; ARSDALE CENTER FOR LABOR STUDIES AT EMPIRE STATE COLLEGE; Columbia University GRADUATE SCHOOL OF ARCHITECTURE, PLANNING AND PRESERVATION; author of ECONOMICS FOR THE REST OF US: DEBUNKING THE SCIENCE THAT MAKES LIFE DISMAL.<br />
<strong>JAMES GALLAGHER</strong>, NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION.<br />
<strong>LAURIE KERR</strong>, NYC MAYOR&#39;S OFFICE OF LONG-TERM PLANNING AND SUSTAINABILITY.<br />
<strong>REINHOLD MARTIN</strong>, moderator, MARTIN/BAXI ARCHITECTS; Columbia University GSAPP; TEMPLE HOYNE BUELL CENTER FOR THE STUDY OF AMERICAN ARCHITECTURE; author of UTOPIA&#39;S GHOST: ARCHITECTURE AND POSTMODERNISM, AGAIN.<br />
<br />
About Underdome:<br />
Underdome is an architect&#39;s guide to contending energy agendas. A cross between an architectural handbook and a voter&#39;s guide, the project maps approaches to the management of energy use to examine their implications for public life. Underdome catalogs a spectrum of positions argued by economists, environmentalists, community advocates, political scientists, and designers. In turn, it highlights in architecture questions of architectural agency, the contemporary city, and collective priorities in the face of ecological and economic uncertainty. The Underdome guide invites designers to use their interpretations of energy as forms of political action-as votes for possible futures. Underdome will launch an online guidebook and a series of panel discussions called &quot;The Underdome Sessions&quot; in October 2010.<br />
<br />
About the Organizers:<br />
Underdome is a project by <strong>ERIK CARVER</strong> and<strong> JANETTE KIM</strong>.&nbsp; It is supported by the Van Alen Institute New York Prize Fellowship 2010, the Urban Landscape Lab at Columbia University, and Columbia University Studio-X.<br />
<br />
All events will be held at Columbia University Studio-X, 180 Varick Street Suite 1610, and are free and open to the public.",New York,Studio-X NYC
The Underdome Sessions - Discussion 1: Territory,Tuesday,12,October,2010,Panel,Studio-X,"The Underdome Sessions. Part 1: Territory<br />
October 12 Tuesday at 6:30pm<br />
Studio-X, 180 Varick Street Suite 1610<br />
<br />
The Underdome Sessions is a series of panel discussions on energy and public life.<br />
Oct 12 Tue Part 1: Territory<br />
Oct 14 Thu Part 2: Power<br />
Oct 19 Tue Part 3: Lifestyle<br />
Oct 21 Thu Part 4: Risk<br />
<br />
Speakers:<br />
<strong>KELLER EASTERLING</strong>, YALE SCHOOL OF ARCHITECTURE; author of ENDURING INNOCENCE: GLOBAL ARCHITECTURE AND ITS POLITICAL MASQUERADES.<br />
<strong>PETRA TODOROVICH</strong>, AMERICA 2050; REGIONAL PLAN ASSOCIATION.<br />
<strong>JUNE WILLIAMSON</strong>, CITY COLLEGE OF NEW YORK SCHOOL OF ARCHITECTURE; author of RETROFITTING SUBURBIA.<br />
<strong>GEORGEEN THEODORE</strong>, moderator, INTERBORO PARTNERS; INFRASTRUCTURE PLANNING PROGRAM, NJIT School of Architecture.<br />
<br />
About Underdome:<br />
Underdome is an architect&#39;s guide to contending energy agendas. A cross between an architectural handbook and a voter&#39;s guide, the project maps approaches to the management of energy use to examine their implications for public life. Underdome catalogs a spectrum of positions argued by economists, environmentalists, community advocates, political scientists, and designers. In turn, it highlights in architecture questions of architectural agency, the contemporary city, and collective priorities in the face of ecological and economic uncertainty. The Underdome guide invites designers to use their interpretations of energy as forms of political action-as votes for possible futures. Underdome will launch an online guidebook and a series of panel discussions called &quot;The Underdome Sessions&quot; in October 2010.<br />
<br />
About the Organizers:<br />
Underdome is a project by <strong>ERIK CARVER</strong> and <strong>JANETTE KIM</strong>.&nbsp; It is supported by the Van Alen Institute New York Prize Fellowship 2010, the Urban Landscape Lab at Columbia University, and Columbia University Studio-X.<br />
<br />
All events will be held at Columbia University Studio-X, 180 Varick Street Suite 1610, and are free and open to the public.",New York,Studio-X NYC
The Studio-X New York Guide to Liberating New Forms of Conversation Book Launch,Friday,8,October,2010,Book Launch,Studio-X,"BOOK LAUNCH CABARET!<br />
<br />
A performative and multi-media book launch for &quot;The Studio-X NY Guide to Liberating New Forms of Conversation&quot; (GSAPP Books, 2010), edited by Gavin Browning, at Storefront for Art and Architecture, 97 Kenmare Street, NYC.<br />
<br />
<strong>DAVID BENJAMIN</strong> will telecommunicate,<br />
<strong>GAVIN BROWNING</strong> will tell a story,<br />
<strong>CRAIG BUCKLEY</strong> will surprise,<br />
<strong>MTWTF</strong> will publish,<br />
<strong>MICHELLE FORNABAI</strong> will paint,<br />
<strong>EVA FRANCH</strong> will emcee,<br />
<strong>LARISSA HARRIS &amp; DAMON RICH</strong> will conspire,<br />
<strong>MITCHELL JOACHIM &amp; IOANNA THEOCHAROPOULOU</strong> will narrate,<br />
<strong>JANETTE KIM</strong> will count,<br />
<strong>MITCH McEWEN</strong> will rap,<br />
<strong>DANIEL PERLIN</strong> will make noise,<br />
<strong>SARAH WILLIAMS</strong> will visualize,<br />
<strong>MIMI ZEIGER</strong> will formulate,<br />
and <strong>MARK WIGLEY</strong> will wrap things up.<br />
<br />
--<br />
<br />
Sponsored by Columbia GSAPP, IZZE Sparkling Juice, KPFF Consulting Engineers, Original Sin Hard Cider and Storefront for Art and Architecture.<br />
<br />
[Studio-X is a downtown studio for experimental design and research run by the Graduate School of Architecture, Planning and Preservation of Columbia University]<br />
<br />
http://www.arch.columbia.edu/publications/recent#studioxny",New York,Storefront for Art and Architecture
"Street Value: Shopping, Planning and Politics at Fulton Mall",Thursday,7,October,2010,Discussion,Studio-X,"<strong>MEREDITH TENHOOR</strong> and <strong>DAMON RICH</strong> -- whose illustrated book (with Rosten Woo) examines the Brooklyn mall, its pedestrian culture and outrageous vernacular design alongside neoliberal urban policies -- will discuss the lessons this history holds for designers, preservationists and anyone dedicated to the continued exuberance of metropolitan life and commerce.<br />
<br />
Sponsored by Princeton Architectural Press.<br />
<br />
<em>Free and open to the public.</em>",New York,Studio-X NYC
Field Reports on Design and Synthetic Biology,Tuesday,5,October,2010,Lecture,Studio-X,"Field Reports on Design and Synthetic Biology, Part 1<br />
<br />
Tuesday, October 5, 6:30pm<br />
<br />
Studio-X, 180 Varick Street, Suite 1610<br />
<br />
Synthetic biology is a new approach to designing biology. It involves a framework of standardized biological parts that can be composed to create new living systems not found in nature. Current and future applications include yeast engineered to produce an inexpensive anti-malaria drug and a seed designed to grow into a building.<br />
<br />
This series of events brings together biologists, artists, sociologists, philosophers, and architects to share current work and discuss future possibilities for design, architecture, innovation, and danger in the century of biology.<br />
<br />
In this session, representatives from <strong>Synthetic Aesthetics</strong> and<strong> DIYbio NYC</strong> will explore collaboration, work processes, and the potential for new biological technologies to transform our world.<br />
<br />
<strong>Nurit Bar-Shai</strong> (Co-founder, Genspace, DIYbio NYC)<br />
<strong>Russell Durrett</strong> (Co-founder, Genspace, DIYbio NYC)<br />
<strong>Sung won Lim</strong> (Co-founder, Genspace, DIYbio NYC)<br />
<strong>Pablo Schyfter </strong>(Postdoctoral Scholar, Department of Bioengineering, Stanford University)<br />
<strong>Chris Woebken</strong> (Artist, DIYbio NYC)<br />
<br />
Organized by <strong>David Benjamin</strong> and the Architecture Bio-Synthesis Project at Columbia GSAPP.",New York,Studio-X NYC
"""Green Ambitions in Urban China"" Forum",Sunday,26,September,2010,Forum,Studio-X,"DATE: September 26, 2010<br />
TIME: 6:30pm<br />
LOCATION: Contemporary Theatre<br />
Andingmen Inner Street Fangjia Hutong 46<br />
RSVP INFO: Free and Open to Public<br />
<br />
DESCRIPTION: In a three hour forum, a panel of architects, engineers, and urban planners will present current and soon-to-be realized sustainable design for different urban areas in China. Following their presentations, the floor will open to the audience for a moderated question and answer session intended to address the practical issues of implementing urban plans in China today. This forum is a complement to the exhibition &quot;Genetic City - Caofeidian&quot; on view at Studio-X Beijing until October 5.<br />
<br />
Opening evening panelists to be announced.",Beijing,Studio-X Beijing
"""Genetic City - Caofeidian"" Exhibition",Sunday,26,September,2010,Exhibition,Studio-X,"DATE: September 26 - October 5, 2010<br />
<br />
TIME: Opening Reception, September 26, 2010, 5pm<br />
<br />
LOCATION: Studio-X Beijing<br />
Andingmen Inner Street Fangjia Hutong 46<br />
<br />
RSVP INFO: Free and Open to Public<br />
<br />
DESCRIPTION: From its summer showing at the Dutch Cultural Centre in Shanghai, the exhibition &quot;Genetic City - Caofeidian&quot; comes to Studio-X Beijing for a ten-day showing. Organized by the Dynamic City Foundation, this multimedia installation reveals a twenty-year master plan for Caofeidian, an eco-city north of Beijing. Over a period of ten weeks, a cumulative 3-D file moved among five Dutch and five Chinese firms, with each firm contributing a two-year segment of the 2020-2040 time frame. The results of this evolutionary greening process are rendered in a massive scale model and a visualized in a series of ten-videos projected simultaneously on a circular 46-meter screen.<br />
<br />
Participating firms: Ma Yansong / MAD, Urbanus, MVRDV + T?F, Tsinghua University, Brearley Architects and Urbanists, Rocksteady Design, Powerhouse Company, Urban China, ZUS and MARS-1<br />
<br />
The opening will be followed by the forum &quot;Green Ambitions in Urban China.&quot;",Beijing,Studio-X Beijing
Listening There - Scenes from Ghana,Thursday,23,September,2010,[object Object],Studio-X,"A multi-media project by SideProjects - <strong>Mabel O. Wilson</strong> and <strong>Peter Tolkin</strong><br />
<br />
Discussion with <strong>Felicity Scott</strong>, GSAPP and <strong>Ikem Stanley Okoye</strong>, Art History University of Deleware.<br />
<br />
Moderated by <strong>Mabel Wilson</strong>, GSAPP.<br />
<br />
The exhibition will be open to the public Mon-Fri, 10AM-6PM, from 9/23- 11/9 at Studio-X, 180 Varick Street, Suite 1610, New York<br />
<br />
--<br />
<br />
ECOGRAM III: Africa is the third annual conference in a series that examines sustainability in the built environment and in architectural education chaired by Ioanna Theocharopoulou, GSAPP + Parsons the New School for Design, and Mitchell Joachim, NYU.<br />
<br />
http://www.arch.columbia.edu/events/ecogram",New York,Studio-X NYC
Listening There - Scenes from Ghana,Thursday,23,September,2010,[object Object],Studio-X,"<u><strong>ECOGRAM III: AFRICA</strong></u><br />
<br />
ECOGRAM III: Africa is the third annual conference in a series that examines sustainability in the built environment and in architectural education chaired by <strong>Ioanna Theocharopoulou</strong>, GSAPP + Parsons the New School for Design, and <strong>Mitchell Joachim</strong>, NYU.<br />
<br />
September 20 - October 1, 2010<br />
<br />
www.arch.columbia.edu/events/ecogram",New York,Studio-X NYC
Amman: Comfort Exhibition Opening And Reception,Thursday,5,August,2010,[object Object],Studio-X,"Columbia University Graduate School of Architecture, Planning and Preservation&rsquo;s Amman Lab invites you to attend a student exhibition opening and reception. The works being displayed are the final projects from the Amman Lab Workshop 2010: Comfort.<br />
<br />
The Amman Lab Workshop is an intensive three week exploration of emergent issues concerning contemporary public space in the Middle East. With the city of Amman serving as an active testing ground, students and faculty from universities throughout the region collaborate to expand their understanding of design issues through research, experimentation, discussion and feedback.<br />
<br />
The 2010 workshop focused on Comfort. As a precondition of public space, Comfort is necessary to provide an environment in which assembly and exchange may occur. With physical, virtual, sensorial and emotional attributes, Comfort can be expressed through different mediums and at varying scales. It is delicate, elusive, and necessary.<br />
<br />
The students participating are from Columbia University Graduate School of Architecture, Planning and Preservation; American University of Sharjah, College of Architecture, Art and Design; Birzeit University, Department of Architectural Engineering; and Jordan University of Science and Technology, College of Architecture and Design.<br />
<br />
If you have any questions, please contact Malwina Lys-Dobradin at StudioX@columbia.edu.<br />
<br />
To learn more about the Amman Lab, please visit www.arch.columbia.edu/studiox/ammanlab.<br />
<br />
We hope to see you there!<br />
<br />
--<br />
<br />
<strong>Nabad Art Gallery</strong><br />
46 Uthman bin Affan Street, First Circle<br />
Amman, Jordan",Amman,Nabad Art Gallery
Unsolicited Architecture Workshop,Sunday,25,July,2010,Unsolicited Architecture,Studio-X,"39 &ndash; 43 Rua S&atilde;o Francisco da Prainha<br />
Rua S&atilde;o Francisco da Prainha, 39 &ndash; 43<br />
Rio de Janeiro &ndash; RJ, 20081-280<br />
<br />
Rio de Janeiro is preparing major infrastructural projects that are being coordinated by decision makers at an international level, from where the little details and textures of an urban scene cannot be perceived. Unsolicited architecture operates independently and creatively finds &ldquo;clients, sites, and a budget&rdquo; willing to develop alternative solutions to fill the gaps in the system. This workshop aims to provoke the exchange of ideas between local and foreign architects to identify simple transformations that improve everyday life.<br />
<br />
Unsolicited Architecture is a joint initiative of Studio-X Rio and the Netherlands Institute of Architects, with the collaboration of the Subsecretary of Heritage, Urban Intervention, Architecture and Design of the City of Rio and the Moderna Art Museum.<br />
<br />
Participants include:<br />
<strong>Marc Koelher</strong>, Marc Koelher Arch - NL<br />
<strong>Joris Weijts</strong>, West 8 - NL<br />
<strong>Tim Aarsen</strong>, Studio Marco Vermeulen - NL<br />
<strong>Zineb Seghrouchni</strong>, Okra - NL<br />
<strong>Gabriel Duarte</strong>, Campo AUD - BR / LAPA<br />
<strong>Gustavo Martins</strong>, Oficina de Arquitetos - BR / GL&Oacute;RIA<br />
<strong>Nanda Eskes</strong>, NE Arquitetura - BR / LARGO DO MACHADO<br />
<strong>Pedro &Eacute;vora</strong>, RUA Arquitetos - BR / HUMAIT&Aacute;<br />
<br />
Response by:<br />
<strong>Ole Bouman</strong>, Director Netherlands Architects Institute - NAi<br />
<strong>Lu&iacute;s Camillo Os&oacute;rio</strong>, Curator Modern Art Museum - MAM Rio<br />
<strong>Washington Fajardo</strong>, Subsecretary of Heritage - SUBPC PCRJ<br />
<strong>Pedro Rivera</strong>, Director Studio-X Rio - GSAPP Columbia University<br />
<br />
Photos from this event are on our <a href=""http://www.flickr.com/photos/studio_x_new_york_columbia_gsapp/sets/72157624486679751/detail/"">flickr</a>.",Rio De Janeiro,Studio-X Rio
Emerging Architectural Practices and the City,Saturday,10,July,2010,Panel,Studio-X,"A103, 46 Fangjia Hutong,<br />
Andingmen Inner Street,<br />
Dongcheng District<br />
<br />
Free and open to the public.&nbsp; RSVP:cc3219@columbia.edu<br />
<br />
How does contemporary architectural production in Beijing, Seoul and Tokyo engage the urban condition today? In partnership with the Weatherhead East Asian Institute and CAFA, GSAPP has invited nine emerging architectural studios to present perspectives on their practices in relation to the evolving conditions of their respective city. The discussion will be moderated by <strong>Jeffrey Johnson</strong>, Director of China Lab, Professor <strong>Mark Rakatansky</strong>, and <strong>Enrique Walker</strong>, Director of GSAPP&rsquo;s Advanced Architecture Design program, at Studio-X Beijing.<br />
<br />
Participants include:<br />
<u>Beijing</u><br />
<strong>Xian Hu</strong>, Duoxiang Studio<br />
<strong>Fan Ling</strong>, CAFA<br />
<strong>Zhenfei Wang</strong>, HHD Fun<br />
<br />
<u>Seoul</u><br />
<strong>Chanjoong Kim</strong>, System Lab<br />
<strong>Homin Kim</strong>, Polymur<br />
<strong>Soo-in Yang</strong>, The Living<br />
<br />
<u>Tokyo</u><br />
<strong>Ryuji Fujimura</strong>, Ryuji Fujimura Architects<br />
<strong>Go Hasegawa</strong>, Go Hasegawa &amp; Associates<br />
<strong>Osamu Nishida</strong>, ON Design<br />
<br />
Schedule:<br />
Beijing 10 &ndash; 12pm<br />
Lunch Break 12 &ndash; 1pm<br />
Seoul 1 &ndash; 3pm<br />
Tea Break 3 &ndash; 3:30pm<br />
Tokyo 3:30 &ndash; 5:30pm<br />
Closing Remarks 5:30 &ndash; 6:00pm",Beijing,Studio-X Beijing
after THE BIG event,Sunday,27,June,2010,Symposium,Studio-X,"A103, 46 Fangjia Hutong,<br />
Andingmen Inner Street,<br />
Dongcheng District<br />
<br />
Free and Open to Public<br />
<br />
<u>The symposium:</u><br />
Participants will address the complex interplay that results from design innovations initiated by major international events and their impact on the future of the city, professional practice, research and teaching.<br />
<br />
<u>Participants:</u><br />
<strong>Vince Pirrello</strong>, Woods Bagot - Beijing<br />
<strong>Wenyi Wu</strong>, Urbanus - Beijing, Director of China Program, Dept. of Architecture &amp; Interior Design, Miami University, USA<br />
<strong>Angela Chen-Mai Soong</strong>, Archipelagos-New York, Taipei, Monterrey<br />
<br />
<u>Moderators:</u><br />
<strong>Mojdeh Baratloo</strong>, Columbia University<br />
<strong>Kathi Holt-Damant</strong>, University of Queensland Technology<br />
<br />
<u>The book:</u><br />
<em>Emerging Urban Futures in Land Water Infrastructure</em><br />
Edited by <strong>Mojdeh Baratloo</strong> and <strong>Kathi Holt-Damant</strong><br />
<br />
<strong>Studio-X Beijing Symposiums Series</strong><br />
Tea Reception<br />
Sponsored by Woods Bagot<br />
<br />
More photos from this event are on our <a href=""http://www.flickr.com/photos/studio_x_new_york_columbia_gsapp/tags/crossoverssymposium/"">flickr</a>.",Beijing,Studio-X Beijing
"Michelle Fornabai's ink",Saturday,26,June,2010,Exhibition,Studio-X,"A103, 46 Fangjia Hutong,<br />
Andingmen Inner Street,<br />
Dongcheng District<br />
<br />
Mon: 10 &ndash; 4pm<br />
Tues-Sun: 11 &ndash; 7pm<br />
Free and Open to Public<br />
<br />
A series of ink on mylar drawings by artist and architect <strong>Michelle Fornabai</strong> premiered at Studio-X Beijing in July 2008 and traveled to Studio-X New York in January 2010. ink now travels back to Studio-X Beijing as part of GSAPP&#39;s growing Studio-X Global Network Initiative.<br />
<br />
For Fornabai, the exhibit explores the question of how spontaneity as a flowing cognition, experienced through varying occupations in time, transforms ideas of habit, function, and program in the architecture of everyday life.<br />
<br />
Visit our <a href=""http://www.flickr.com/photos/studio_x_new_york_columbia_gsapp/sets/72157624441711681/detail/"">flickr</a> to see more photos from the opening of this event.",Beijing,Studio-X Beijing
Dress Local: Applied Mapping of the Garment District,Thursday,13,May,2010,[object Object],Studio-X,"CCCPArch, The Fashion Center Business Improvement District and Studio-X present a mixed-media, site-specific exhibition about the Garment District&mdash;made with materials from the Garment District&mdash;in the Garment District.<br />
<br />
Opening Thursday, May 13, 2010, 6:30pm<br />
On display May 13-June 15, 2009<br />
<br />
<strong>The Fashion Center Space for Public Art</strong><br />
215 W. 38th Street, New York, NY 10018<br />
<br />
By <strong>Sarah Cloonan, Pollyanna Rhee, Federica Soletta</strong> and <strong>Tong Tong</strong> (CCCPArch, Columbia University)<br />
<br />
Four graduate students from the one-year-old Critical, Curatorial, and Conceptual Practices in Architecture (CCCPArch) program at Columbia University present a storefront-window exhibition, &ldquo;Dress Local: Applied Mapping of the Garment District.&rdquo;<br />
<br />
The project uses an applied mapping of fabric, pattern and notions&mdash;an expression of the urban mosaic of the neighborhood and the New York fashion industry&mdash;as well as a simple sheath dress made entirely from goods found with within the Garment District to highlight the vibrant textural qualities of the neighborhood. Thereby, &ldquo;Dress Local&rdquo; examines these qualities at the macro- and micro-scale simultaneously. The students have created a blog to document their research and installation process: http://dresslocal.tumblr.com/<br />
<br />
Sponsored by CCCPArch, The Fashion Center Business Improvement District, and Studio-X.<br />
",New York,The Fashion Center Space for Public Art
Discussions on Networked Publics #4: INFRASTRUCTURE,Tuesday,4,May,2010,Panel,Studio-X,"<u>Featuring:</u><br />
<strong>DAVID BENJAMIN</strong>, Living Architecture Lab, Columbia GSAPP<br />
<strong>FRANK PASQUALE</strong>, Seton Hall University, Law School)<br />
<strong>MOLLY WRIGHT STEENSON</strong>, Princeton University<br />
<strong>MASON C. WHITE</strong>, University of Toronto<br />
<strong>Moderated by KAZYS VARNELIS</strong>, NetLab, Columbia GSAPP<br />
<br />
<u>About the series:</u><br />
<br />
&quot;The Network Architecture Lab&#39;s series of evening panels entitled &lsquo;Discussions on Networked Publics&rsquo; at Columbia University&#39;s Graduate School of Architecture, Preservation, and Planning&#39;s Studio-X continues with the mission of investigating the changing conditions of the media, architecture, and urbanism today.<br />
<br />
The mass audience and mass media analyzed by the Frankfurt School are long gone. As digital media and network technologies are increasingly integral with everyday life, the public is transforming. Today we inhabit multiple, overlapping and global networks such as user forums, Facebook, Flickr, blogs, and wikis. In lieu of watching TV, listening to the radio, or playing records, we text each other, upload images to social networking sites, remix videos, write on blogs and make snarky online comments. The media industry, which just a decade ago seemed well established, is in flux, facing its greatest challenge ever. If we can be certain of anything, it&#39;s that as Karl Marx wrote, &lsquo;all that is solid melts into air.&rsquo;<br />
<br />
In 2008, Columbia University&#39;s Network Architecture Lab published &lsquo;Networked Publics,&rsquo; a book produced in collaboration with the University of Southern California&#39;s Annenberg Center for Communication examining how the social and cultural shifts centering around new technologies have transformed our relationships to (and definitions of) place, culture, politics, and infrastructure.<br />
<br />
&lsquo;Discussions on Networked Publics&rsquo; seeks to explore the ramifications of these changes, giving particular attention to architecture and cities. In a set of five panels--culture, place, politics, infrastructure, and network society--we will explore the consequences of networked publics in detail. Our goal will be to come to an understanding of the changes in culture and society and how architects, designers, historians, and critics might work through this milieu. Discussions will be recorded for playback on the Internet and eventually edited and transcribed into a pamphlet to be made available at the conclusion of the series.&quot;<br />
<br />
--<br />
<br />
<strong>Studio-X</strong><br />
180 Varick Street, STE 1610<br />
1 train to Houston Street<br />
<br />
<em>Free and open to the public</em><br />
<br />
RSVP: info@networkarchitecturelab.org",New York,Studio-X NYC
