title,day,date,month,year,event_type,series,body,city,venue
Book Launch: Making the Geologic Now,Wednesday,5,December,2012,Book Launch,Studio-X,"In the spirit of a broadside, this edited collection circulates images and short essays from over 40 artists, designers, architects, scholars, and journalists who are extending our active awareness of inhabitation out to the cosmos and down to the Earth&rsquo;s iron core. Their works are offered as test sites for what might become thinkable and possible if humans were to take up the geologic as our instructive co-designer&mdash;as a partner in designing thoughts, things, systems, and experiences. As a reading and viewing event, <em>Making the Geologic Now</em> is designed to move with its audiences while delivering signals from unfolding edges of the &ldquo;geologic now.&quot; It offers early sightings of an increasingly widespread turn toward the geologic as source of explanation, motivation, and inspiration for creative responses to material conditions of the present moment.<br />
<br />
The December 4th launch will release both the ebook (an open-source, free download from punctum) and the interactive, website version of the book. The printed book also will be available for pre-order from punctumbooks.com, shipping in mid-December.<br />
<br />
The evening&#39;s program will feature a brief introduction to the project from co-editors Elizabeth Ellsworth and Jamie Kruse, followed by comments from contributors. Videos and images from the project will be on display, and Eileen Joy, director of punctum, will appear via Skype from Australia to speak about the spirit behind punctum books.<br />
<br />
Drinks and snacks will be provided.",New York,Studio-X NYC
Book: Bernard Tschumi and Alejandro Zaera-Polo in Conversation,Thursday,29,November,2012,[object Object],Core Series,"Conversation and launch for <a href=""http://www.rizzoliusa.com/book.php?isbn=9780847837977"">Bernard Tschumi: Architecture Concepts: Red is Not a Color</a> by Bernard Tschumi, Columbia University GSAPP and Bernard Tschumi Architects, and&nbsp;<a href=""http://www.actar.es/index.php?option=com_dbquery&amp;task=ExecuteQuery&amp;idllengua=2&amp;qid=2&amp;idllibre=%204368%20&amp;lang=en"">The Sniper&#39;s Log: An Architectural Perspective of Generation-X</a> by Alejandro Zaera-Polo, Princeton University School of Architecture.&nbsp;",New York,Wood Auditorium
"Trash: New York City's $2 Billion Problem",Wednesday,28,November,2012,Core Series,Core Series,"<strong>Kate Ascher,</strong> Columbia University GSAPP<br />
<strong>Marcia Bystryn,</strong> President, New York League of Conservation Voters<br />
<strong>Venetia Lannon,</strong> Regional Director, New York State Department of Environmental Conservation<br />
<strong>Samantha MacBride,</strong>&nbsp;Assistant Professor, Public Affairs, Baruch College<br />
<br />
What does one do with 15,000 tons of garbage a day? If you&#39;re New York City, you take it away by truck and throw it out&mdash;most of it in big holes in the ground in places as far away as Virginia and Ohio. What you don&#39;t do is source separate it, recycle it, or make energy from it, despite the fact that technologies to use garbage for beneficial purposes are established around the world. This panel of experts explains why New York&#39;s City&#39;s waste disposal system is stuck in neutral, and how to change it.",New York,Wood Auditorium
OPEN SHOW,Wednesday,28,November,2012,Presentation,Studio-X,"Intent: To give artists an opportunity to share their work and to engage in a discussion with a curious and informed audience. We have invited Photographers, filmmakers and multimedia artists to present their works focusing on the theme of &#39;the city&#39;.",Mumbai,
"CURE. Lunch Lecture: Dr. Morris A. Davis, University of Wisconsin ",Wednesday,28,November,2012,Lunchtime Lecture,CURE,"<strong>CURE.</strong> Presents:<br />
<br />
A Lunchtime Lecture from <strong>Dr. Morris A. Davis</strong>, Graaskamp Chair in Real Estate &amp; Academic Director of the Graaskamp Center for Real Estate, University of Wisconsin.<br />
<br />
12:00 p.m. Fayweather 200<br />
<br />
Light Lunch Served. ",New York,"200, Fayerweather"
PechaKucha Night Rio: Tecnomacumba against the Exu of Ignorance,Wednesday,28,November,2012,Forum,Studio-X,"The title PechaKucha comes from the japanese term for &lsquo;chatting&rsquo; and is based on a simple idea: 20 images X 20 seconds, a format which allows for objective and con-cise presentations.<br />
PechaKucha started out in Tokyo in 2003 through the architecture office of Klein-Dytham, and was meant for architects and designers to meet and share their work.&nbsp; It has since become a global celebration embraced by a myriad of creative minds involved in all matters of architecture, art, technology and culture.&nbsp; With events hap-pening in hundreds of cities around the world PechaKucha has become a portal of creative exchange.&nbsp; In Brazil it happens in cities such as S&atilde;o Paulo, Curitiba, Porto Alegre e Belo Horizonte.<br />
In Rio, PechaKucha Night is inspired by Brian Eno and Arthur C. Clark to define the theme Tecnomacumba against the Ex&uacute; of Ignorance bringing together 15 innovative minds to discuss digital culture.&nbsp; According to the collective Gambiarra, organizer of the event: &ldquo;These are people who do not believe when they are told that something is impossible and venture beyond the limits of what seems possible.&nbsp; Their methods are not different from that of magic.&nbsp; Their relationship with digital culture, be it t-hrough social empowerment, to promote new forms of expression, to improve and deliver new forms of education, is part of our universe of technological fathers and mothers-of-saint.&nbsp; Brian Eno once said in an interview on Wired magazine in 1996 that there was not enough Africa in our computers.&nbsp; Let&rsquo;s bring people who show that our computers have a lot of Africa in them!&rdquo;<br />
The event has the support of Studio-X Rio.",Rio De Janeiro,Studio-X Rio
The Kenneth Frampton Endowed Lecture: Eduardo Souto de Moura,Monday,26,November,2012,Core Series,Core Series,"<strong>Eduardo Souto de Moura</strong><br />
<br />
On the occasion of the second annual Kenneth Frampton Endowed Lecture, Pritzker Architecture Prize winner <strong>Eduardo Souto de Moura</strong> discusses his architecture and design practice.<br />
<br />
This event will be livestreamed on livestream.com/GSAPP&nbsp;<br />
<br />
Seating is limited. Due to the popularity of this event, priority seating will be given to current students and faculty with Columbia University IDs.&nbsp;Overflow spaces are available in 114 and 115 Avery Hall.&nbsp;<br />
<br />
<strong>Founding Donors</strong><br />
Tadao &amp; Yumiko Ando<br />
Anonymous<br />
Diana Barco<br />
Siri Blakstad &amp; Peter Pran<br />
Santiago &amp; Robertina Calatrava<br />
David Chipperfield<br />
Brad Cloepfil<br />
Henry N. Cobb<br />
Sharon Davis<br />
Peter Eisenman &amp; Cynthia Davidson<br />
Norman Foster<br />
Michael Graves &amp; Associates<br />
Steven Holl<br />
Toyo Ito<br />
Elise Jaffe + Jeffrey Brown<br />
Kengo Kuma<br />
Patxi Mangado<br />
Richard Meier<br />
Rafael Moneo<br />
Glenn Murcutt<br />
Patkau Architects<br />
Cesar Pelli<br />
Demetri Porphyrios<br />
Richard Rogers<br />
Stanley Saitowitz<br />
Laurinda Spear &amp; Bernardo Fort-Brescia<br />
Robert A.M. Stern<br />
Skidmore, Owings &amp; Merrill LLP<br />
Bernard Tschumi &amp; Kate Linker<br />
Rafael Vi&ntilde;oly<br />
Bart Voorsanger<br />
Tod Williams &amp; Billie Tsien<br />
Harry Wolf<br />
<br />
Translation at the event provided by&nbsp;Tania Branquinho.",New York,Wood Auditorium
X-Agenda: Vector Architects: Intervening,Saturday,24,November,2012,Exhibition,Studio-X,"This winter, Studio-X Beijing features the second X-Agenda micro exhibition of Vector Architects: Intervening, mainly including 8 projects from Vector Architects of the recent years, in the form of architectural model, drawing and video. Vector Architects, a Beijing-based architecture firm, was founded in Beijing in 2008. Both its partners, <strong>Gong Dong</strong> and <strong>Chien-Ho Hsu</strong>, graduated from prestigious architectural institutions abroad, and have worked for world-renowned firms in the field of architecture for years in the United States. Vector Architects addresses the relationship between architecture and life, the establishment of social space, and building tectonics as the key motivations for every design and architectural practice.<br />
<br />
Works from the exhibition will be on view from Studio-X Beijing from November 24 - December 15. Please join us for our opening ceremony on 11/24, when drinks and snacks will be provided.<br />
<br />
Studio-X哥伦比亚大学北京建筑中心很荣幸地邀请到直向建筑事务所在Studio-X空间举办展览&ldquo;直向介入&rdquo;。作为X-Agenda微展系列的第二站，直向介入将主要呈现直向建筑近几年来正在进行或已经完成的8个项目，并展出与此相关的建筑模型、图纸及影像等。直向建筑于2008年在北京成立。合伙人董功和徐千禾均于国内外接受完整的建筑专业教育，并先后在美国著名建筑师事务所工作多年。对于直向建筑而言，建筑对于生活的关照，社会性空间的营造，和对于建筑逻辑正确性的坚持，是每一次设计实践中一贯追求的理念准则。本次展览将于11月24日开始，并持续至12月15日。同时，欢迎参加我们在11月24日（周六）下午4点举行的开幕仪式，现场将提供红酒、饮料和糕点，敬请享用。<br />
<br />
--<br />
<br />
Location: A103, 46 Fangjia Hutong, Andingmen Inner Street, Dongcheng District, Beijing<br />
地址：北京市东城区安定门内大街方家胡同46号A103<br />
微博：哥大北京建筑中心<br />
电话： 86 10 64018208",Beijing,Studio-X Beijing
Now & When,Saturday,24,November,2012,Exhibition,Studio-X,"NOW and WHEN is an exhibition of dramatic urban visions, which was curated for the Australian Pavilion at the 12th International Architecture Exhibition iin Venice in 2010.<br />
The exhibition comprises of two films accompanied by an evocative soundscape to create an immersive environment for the audience to experience. NOW highlights five of Australia&rsquo;s most interesting urban and non-urban regions today and WHEN imagines 17 futuristic environments from 2050 and beyond depicting Australian cities more than 40 years into the future. The exhibition is part of a larger cultural festival brought to you by the Australian International Cultural Council called OZFEST.<br />
<br />
Partners: The Australian Institute of Architects &amp; The India Design Forum<br />
Supported by the Australian Government through the Australian International Cultural Council, an initiative of the Department of Foreign Affairs and Trade.<br />
<br />
For more information please visit:&nbsp;www.ozfestindia.com&nbsp;",Mumbai,Studio-X Mumbai
 Now and When : Australian Urbanism,Saturday,24,November,2012,Opening,Studio-X,"<strong>NOW and WHEN: Australian Urbanism&nbsp;</strong>is an exhibition of dramatic urban visions, which was curated for the Australian Pavilion at the 12th International Architecture Exhibition iin Venice in 2010.<br />
<br />
The exhibition comprises of two films accompanied by an evocative soundscape to create an immersive environment for the audience to experience. NOW highlights five of Australia&rsquo;s most interesting urban and non-urban regions today and WHEN imagines 17 futuristic environments from 2050 and beyond depicting Australian cities more than 40 years into the future. The exhibition is part of a larger cultural festival brought to you by the Australian International Cultural Council called OZFEST.<br />
<br />
Partners: The Australian Institute of Architects &amp; The India Design Forum<br />
Supported by the Australian Government through the Australian International Cultural Council, an initiative of the Department of Foreign Affairs and Trade.<br />
<br />
For more information please visit: www.ozfestindia.com",Mumbai,Studio-X Mumbai
From Industry to Housing: The transformation of the Eastern Docks in Amsterdam ,Friday,23,November,2012,Lecture,Studio-X,"The panel presents the ambitious project to revitalize the old industrial district into a new neighborhood, focusing on the masterplan that focused on mixed use and sus-tainable mobility. With Dick van Gameren, director of the School of Architecture of the TU Delft, and Irma van Oort, the KCAP Architects &amp; Planners.",Rio De Janeiro,Studio-X Rio
Contemporary Dutch Architecture Panorama,Friday,23,November,2012,Lecture,Studio-X,"Caroline Bos, UN Studio, Willem Jan Neutelings, Neutelings &amp; Riedijk architects, and Francine Houben, Mecanoo, present their creations with a focus on its formal dimension.",Rio De Janeiro,Studio-X Rio
CCCP Film Screening: Talking Architect,Wednesday,21,November,2012,Forum,CCCP,"<em>Talking Architect </em>is the first documentary about architect CHUNG Guyon (1943-2011), known as 2nd generation of Korea&#39;s contemporary architects. Following steps he and his pupils take to prepare an exhibition at Ilmin Museum of Art, the film portrays the intersecting paths between architecture and society, architecture and life, and architecture and architecture. The exhibition became his last work following cancer surgery, where CHUNG makes an earnest attempt at another cultural revolution.<br />
<br />
Film by Jeong Jae-eun<br />
<br />
November 20, 2012 7-9.30pm<br />
Avery 114<br />
<br />
Free and open to the public<br />
Light refreshments will be served<br />
<br />
Organized by Jihoi Lee (CCCP&#39;13),&nbsp;jl3778@columbia.edu",New York,"Room 114, Avery Hall"
