title,day,date,month,year,event_type,series,body,city,venue
Engaging The Community   ,Friday,18,October,2013,Urban Design Lecture Series,Urban Design Lecture Series,"10/18 Fri 1-2p &nbsp; &nbsp;114 Avery<br />
&nbsp;<br />
Engaging The Community&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br />
<br />
Eddie Bautista<br />
(The NYC Environmental Justice Alliance)<br />
<br />
Les Bluestone<br />
(Blue Sea Development Company)",New York,"100 Level, Avery Hall"
Mumbai Anthropocene,Thursday,17,October,2013,Discussion,Studio-X,"The pop-up exhibit MUMBAI ANTHROPOCENE: HOUSING, CULTURE, AND NEW IMAGINARIES OF THE CITY&#39;S&nbsp;INDUSTRIAL CORE<br />
presents work in progress from the Fall 2013 OneCity design and research studio of the Master of&nbsp;Urban Design program at University of Michigan Taubman College of Architecture + Urban Planning. Directed by V. Mitch McEwen, Charles Moore Visiting Assistant Professor and Partner at A(n) Office, Mumbai Anthropocene takes the geological age of Anthropocene as a call to reimagine&nbsp;the terms and possibilities of housing in Mumbai.",Mumbai,Studio-X Mumbai
Exhibition Closing Reception: People Building Better Cities,Thursday,17,October,2013,Closing Reception,Studio-X,"<strong>EXHIBITION Closing Reception:&nbsp;People Building Better Cities</strong><br />
18:00-20:00, Thursday, October 17, 2013<br />
<br />
<strong>Venue: Studio-X Beijing</strong><br />
Address: A103, 46 Fangjia Hutong, Andingmen Inner Street, Dongcheng District, Beijing<br />
Website: http://peoplebuildingbettercities.org/<br />
<br />
We would like to invite you to the Closing Reception on October 17 from 6-8 p.m. at Studio X for a wonderful exhibition on sustainable cities that has been traveling around the world. The theme of this traveling exhibition is to promote dialogue on public participation and inclusive urbanisation.<br />
Please join us at Studio X &ndash; Beijing for a closing reception and opportunity to view this remarkable exhibit before it ends on October 20.<br />
Beverages and refreshments will be provided. We are looking forward to your participation!<br />
<br />
<em>Free and open to the public</em><br />
<br />
<a href=""http://peoplebuildingbettercities.org/"">PEOPLE BUILDING BETTER CITIES</a> is a traveling exhibition by Global Studio and the Center for Sustainable Urban Development in the Earth Institute at Columbia University (CSUD), New York.<br />
Since February 2013, PBBC has been shown in Bangkok, Rio de Janeiro, Sydney, Johannesburg, Nairobi, Mumbai, Delhi and Beijing with upcoming showings in Chennai, Bangalore and Cincinnati. The last exhibition in 2013 will be held in New York in December. Translated into five languages, the exhibition and the associated public programs in each city aim to share and exchange knowledge, build networks, and promote dialogue between communities, urban practitioners, universities, NGOs and policy makers on the role of citizen engagement in meeting the challenges of urbanisation and climate change.<br />
Building on the work of Global Studio, an international educational program since 2005, People Building Better Cities documents community-driven projects that share a common goal: the promotion of inclusive urbanisation to improve the lives of the urban poor through innovations in participatory design and planning.",Beijing,Studio-X Beijing
Aerial Arts: Reconnaissance Reconsidered ,Wednesday,16,October,2013,Lecture,Studio-X,"Join us for an evening of visual feigns and interpretative assumptions at Studio-X NYC, as Sonja Duempelmann and Enrique Ramirez explore the intersection of WWII reconnaissance photography and design. As one of a series of public events accompanying artist <a href=""http://events.gsapp.org/event/aerial-arts-exhibition"">Meg Studer&rsquo;s <em>Aerial Arts</em> exhibit</a>, Duempelman and Ramirez&rsquo;s examination of the mid-century aerial imaginary focuses on the feedback between photographic, cartographic, and planning forms.<br />
<br />
Sonja Duempelman is Associate Professor of Landscape Architecture at the Harvard Graduate School of Design. Her book, <em>Flights of Imagination: Powered Aviation and the Art and Science of Landscape Design and Planning</em>, is currently in press (UVA Press, 2014). She will begin the evening&rsquo;s events with a short talk, &ldquo;Camouflaging Camouflage,&rdquo; showing how the nature and politics of camouflage measures during WWII led to &ldquo;protective concealment&rdquo; being understood as a type of regional planning and landscape architecture, as well as how this method of strategic warfare continued to inform landscape design in the postwar years.&nbsp;<br />
<br />
Enrique Ramirez, an architectural historian currently at work on a book concerning architectural and aeronautical cultures in France and the United States in the nineteenth century, will follow with a short talk entitled &quot;The Aerial View in the Age of Paranoia.&rdquo; Drawing on the paranoid style of William S. Burroughs and Thomas Pynchon, Ramirez will explore maps and aerial photographs as high-altitude abstractions, as susceptible to the vagaries and caprices of interpretation as literary fiction.<br />
<br />
The two short talks will be followed by moderated Q &amp; A discussion. Attendees will also be able to view the accompanying <em>Aerial Arts</em> exhibition.<br />
<br />
Free and open to the public; no RSVP necessary.",New York,Studio-X NYC
Balikçilar (Fishermen): Recent Work by Superpool,Wednesday,16,October,2013,Core Series,Core Series,"Studio-X Istanbul Director <strong>Selva G&uuml;rdoğan</strong> and <strong>Gregers Tang Thomsen</strong><br />
Response by <strong>Prem Krishnamurthy,</strong> Project Projects and P!<br />
<br />
Founded in 2006, <strong>Selva G&uuml;rdoğan</strong> and <strong>Gregers Tang Thomsen</strong>&rsquo;s Istanbul-based studio Superpool has has traversed worlds of mapping and visualization, with their <a href=""http://www.superpool.org/index.php/istanbul-bike-map"">Istanbul Bike Map</a> and <a href=""http://www.superpool.org/index.php/dolmus-minibus-map"">Dolmuş &amp; Minib&uuml;s Map</a>; interior design, with a series of custom tables for the contemporary art institution SALT; exhibition design, such as the recent <a href=""http://projectprojects.com/becoming-istanbul/"">Becoming Istanbul</a>; and now, curatorial work at the helm of Studio-X Istanbul. In this conversation, the designers discuss their collaborative work with Prem Krishnamurthy of graphic design firm <a href=""http://projectprojects.com/"">Project Projects</a> and <a href=""http://p-exclamation.org/"">P!</a>, a &quot;free-wheeling combination of project space, commercial gallery, and Mom-and-Pop-Kunsthalle&quot; in New York City&#39;s Chinatown.<br />
<br />
<strong>Istanbul Week, October 13&ndash;19</strong><br />
Interdisciplinary conversation to launch the newest node in the Studio-X Global Network, Studio-X Istanbul, Meclis-i Mebusan Caddesi, No: 37 Salıpazarı, Beyoğlu, on November 8. Istanbul Week is co-organized by the Columbia Global Centers | Turkey.",New York,Wood Auditorium
Mobilizer: SOHO China (Zhang Xin),Tuesday,15,October,2013,Core Series,Core Series,"CEO and co-founder of <a href=""http://www.sohochina.com/"">SOHO China</a> <strong>Zhang Xin </strong>presents her acclaimed work in China, including Zaha Hadid&rsquo;s recent <a href=""http://galaxysoho.sohochina.com/en"">Galaxy SOHO</a> in Beijing, as well as her galvanizing social and political commentary, as captured in this recent <a href=""http://www.cbsnews.com/video/watch/?id=50152766n""><em>60 Minutes</em></a> profile<i>.</i>",New York,Wood Auditorium
Ecumenopolis: City Without Limits,Tuesday,15,October,2013,LiPS,LiPS,"Ecological limits have been surpassed. Economic limits have been surpassed. Population limits have been surpassed. Social cohesion has been lost. Here is the picture of neoliberal urbanism: Ecumenopolis.Ecumenopolis aims for a holistic approach to Istanbul, questioning not only the transformation, but the dynamics behind it as well. From demolished shantytowns to the tops of skyscrapers, from the depths of Marmaray to the alternative routes of the 3rd bridge, from real estate investors to urban opposition, the film will take us on a long journey in this city without limits. We will speak with experts, academics, writers, investors, city-dwellers, and community leaders; and we will take a look at the city on a macro level through animated maps and graphics. Perhaps you will rediscover the city that you live in and we hope that you will not sit back and watch this transformation but question it. In the end this is what democracy requires of us.<br />
<br />
This film was directed by Imre Azem.",New York,"Room 114, Avery Hall"
Gen Bilimci (Geneticist): Vakko Fashion Center ,Monday,14,October,2013,Core Series,Core Series,"REX Principal <strong>Joshua Prince-Ramus,</strong> Project Manager <strong>David Menicovich,</strong> and On-Site Architect<strong> Ishtiaq Rafiuddin;</strong> Fa&ccedil;ade Consultant <strong>Marc Simmons,</strong> Front; and Interior Designer <strong>Sefer &Ccedil;ağlar, </strong>Autoban<br />
<br />
Responses by <strong>Merve &Ccedil;ağlar,</strong> SAHA Contemporary Art, and <strong>Galia Solomonoff,</strong> GSAPP<br />
<br />
An x-ray look at <a href=""http://www.rex-ny.com/work/vakko-fashion-center/#"">one building</a> by key players in its realization. The Vakko Fashion Center, a 40,000 square-foot headquarters for the Turkish fashion house <a href=""http://www.vakko.com/"">Vakko</a> and its related media company, which was completed in 2012, began in Southern California, with REX&rsquo;s design for a new building at Caltech. A sudden change in the school&rsquo;s administration halted plans and freed them up for a new client in Istanbul, Vakko, which needed a new home within one year. In this unusual story, construction began merely four days after REX received the commission, with plans quickly altered to include offices, showrooms, conference rooms, an auditorium, museum, and dining hall, as well as television studios, radio production facilities and a screening hall around the existing concrete skeleton of a former hotel&mdash;a striking building-within-a-building that exemplifies quick thinking and adaptive reuse.<br />
<br />
<strong>Istanbul Week, October 13&ndash;19</strong><br />
Interdisciplinary conversation to launch the newest node in the Studio-X Global Network, Studio-X Istanbul, Meclis-i Mebusan Caddesi, No: 37 Salıpazarı, Beyoğlu, on November 8. Istanbul Week is co-organized by the Columbia Global Centers | Turkey.",New York,Wood Auditorium
APT Networking Reception,Monday,14,October,2013,Reception,Alumni,"Please join fellow alumni and current students for cocktails and networking during this year&#39;s Association for Preservation Technology International Conference in New York.<br />
<br />
OCTOBER 14, 2013, 6 - 8PM<br />
Columbia Club of New York<br />
15 West 43rd Street<br />
New York, NY 10036<br />
<br />
Please register <a href=""https://web.ovationtix.com/trs/pe/9823729"">here</a> by September 30th.<br />
<br />
For additional questions, contact <a href=""mailto:yjk2109@columbia.edu?subject=APT%20Reception"">Ellen Kim</a>, Manager of Alumni Relations and Annual Giving.",New York,Columbia Club
Dertop (Gleaner): Subjective Contours,Sunday,13,October,2013,Core Series,Core Series,"<strong>Elastic City</strong> presents an original, participatory walk with artists <strong>Hayal Pozanti</strong> and <strong>Todd Shalom </strong>commissioned for Istanbul Week<br />
<br />
Once a bohemian center, the West Village has long lost itself to its own charm. And like Istanbul, the neighborhood adheres to no grid system. <em>Subjective Contours</em> aims to explore its present state, reveling in the neighborhood&#39;s unintentional geometry and flattening out its space via framing, drawing, and performing. Visual artists <strong>Hayal Pozanti </strong>(Turkey) and <strong>Todd Shalom</strong> (USA) will lead participants in reimagining plans for the neighborhood. This walk holds 12 people and will be held in English, though Hayal also speaks Turkish.<br />
<br />
12 people per walk. Meeting point in the West Village will be sent to you. Registration at www.elastic-city.org/walks/subjective-contours<br />
<br />
Sunday, October 13, 2pm<br />
Sunday, October 13, 5pm<br />
<br />
++++++<br />
<br />
<strong>Istanbul Week, October 13&ndash;19</strong><br />
Interdisciplinary conversation to launch the newest node in the Studio-X Global Network, Studio-X Istanbul, Meclis-i Mebusan Caddesi, No: 37 Salıpazarı, Beyoğlu, on November 8. Istanbul Week is co-organized by the Columbia Global Centers | Turkey.<br />
<br />
<br />
<br />
<br />
",New York,TBD
Synth City,Saturday,12,October,2013,Performance,Studio-X,"<strong>Synth City</strong> consists of a two day session where six music producers from across the city are invited to create, discover and explore synths and their ability to express spaces or localities within the city.<br />
Individual localities or themed areas are assigned to each of the producers to interpret independently. The final project will consist of a synthesis of the various sounds into one holistic synth on Mumbai.&nbsp;It is an investigation of computer music, sonic space and&nbsp;generative art. The explorations are rooted in academic sound research as well as in club culture.<br />
<br />
The developing process in this work is part of an artistic production and the documentation through experience of spaces, objects, photographs and videos culminates into a&nbsp;sensitive memory of the work.<br />
<br />
Participating artists:<br />
Nigel Rajaratnam<br />
Adriel George &amp; Prathu Parab<br />
Shahveer Sidhwa &amp; Rachel Koyama<br />
Vishal Singh<br />
Ajay Jayanthi &amp; Chaitanya Bulusu<br />
<br />
In conjunction with <strong>India Music Week October 6th-13th 2013</strong><br />
For information visit: http://indiamusicweek.org/",Mumbai,Studio-X Mumbai
"Aerial Arts: Defense Discourses, Cartographic Critiques",Friday,11,October,2013,Exhibition,Studio-X,"<h2>
	Aerial strikes! Imminent attack! Global war!</h2>
This exhibition of new work by designer <a href=""http://the-distopians.com/siteations/"">Meg Studer</a> explores Air-Age cartography, Arctic geopolitics, and their critique in 60s post-minimal art.<br />
<br />
Infographic boards and mid-century maps chart the polar projections, oblique &#39;over-views,&#39; and immersive maps shared between (civil) defense discourses and the &#39;Aerial Arts&#39; of Robert Smithson, Walter de Maria, et. al.<br />
<br />
In drawing out their cartographic response to space (and arms) race rhetoric, the show traverses a moment of global, intimate, and militarized mapping that resonates with our own.<br />
<br />
The exhibit is free, and is open to the public between 1 and 6pm, Monday through Friday, from October 11 through 25, as well as during a series of accompanying public events exploring the &#39;aerial&#39; in art, architecture, and urbanism.",New York,Studio-X NYC
Communicating Economics	 ,Friday,11,October,2013,Urban Design Lecture Series,Urban Design Lecture Series,"10/11, Fri&nbsp;&nbsp;&nbsp; 1-2p&nbsp;&nbsp;&nbsp; 114 Avery&nbsp;<br />
<br />
Communicating Economics&nbsp;&nbsp;<br />
<br />
Michael Gedal<br />
(Federal Reserve Bank of New York)<br />
<br />
Andrew Rudd<br />
(UN-Habitat)",New York,"100 Level, Avery Hall"
"CURE's Launch Party of NYC 2040 at Van Allen Book Store ",Thursday,10,October,2013,GSAPP Books,CURE,"Thursday, 7pm<br />
10 / 10<br />
<br />
<strong>NYC 2040: Housing the Next One Million New Yorkers<br />
Jesse M. Keenan, Vishaan Chakrabarti</strong><br />
<br />
NYC 2040: Housing the Next One Million New Yorkers examines the physical and equitable implications of housing future generations of New York City residents. Using simulations to measure both the quantitative and qualitative implications of development, authors Keenan and Chakrabarti test a working hypothesis that certain zones within NYC have the potential for hyper-urbanized development, with greater levels of density and intensity of use. The research presented in this book attempts to provide an empirical platform for informing design, planning, and development decisions for the future of housing in New York. Join Keenan and Chakrabarti at Van Alen Books to celebrate the new release.<br />
<br />
For More Information:<br />
http://www.vanalenbooks.org/post/58810735756/nyc-2040-housing-the-next-one-million-new-yorkers#more<br />
",New York,Van Alen Institute Bookshop
Aerial Arts: Opening Reception,Thursday,10,October,2013,Opening,Studio-X,"Join us for the opening reception of <a href=""http://events.gsapp.org/event/aerial-arts-exhibition-october-11-25"">Aerial Arts: Defense Discourses, Cartographic Critiques</a>, a new exhibition now on display at Studio-X NYC. With the advent of Google Maps and mobile geo-location, most genealogies of our current intimate and often aerial embrace of cartography begin with Apollo 8 and the <em>Whole Earth Catalog</em> of the late 1960s. This exhibition of new work by designer <a href=""http://the-distopians.com/siteations/"">Meg Studer</a> explores the era&#39;s wider artistic appropriations, tracing shared cartographic forms back further in time, to the Air-Age media campaigns of World War II and the Cold War, when polar maps and oblique &#39;over-views&#39; cast the world as a closed, continuous, and shrinking sphere, emphasizing &lsquo;flight-line&rsquo; proximity and U.S. vulnerability to German and, later, Soviet aerial attack.<br />
<br />
Oscillating from 1941 to 1967-69, the show uses infographic boards, period reprints, and mid-century objects to draw out the links between Air-Age maps, defense campaigns, and artistic critique.<br />
<br />
<a href=""http://the-distopians.com/siteations/"">Meg Studer</a> will provide a brief introduction to the exhibition during the reception; wine and snacks will be served. Free and open to the public; no RSVP necessary.<br />
<br />
The exhibit itself is free, and is open to the public between 1 and 6pm, Monday through Friday, from October 11 through 25, as well as during a series of accompanying public events exploring the &#39;aerial&#39; in art, architecture, and urbanism.",New York,Studio-X NYC
Walkscapes,Thursday,10,October,2013,Book Launch,Studio-X,"Walkscapes deals with strolling as an architecture of landscape. Walking as an autonomous form of art, a primary act in the symbolic transformation of the territory, an aesthetic instrument of knowledge and a physical transformation of the &#39;negotiated&#39; space, which is converted into an urban intervention. From primitive nomadism to Dada and Surrealism, from the Lettrist to the Situationist International, and from Minimalism to Land Art, this book narrates the perception of landscape through a history of the traversed city.",Rio De Janeiro,Studio-X Rio
Design Intelligence: Africa 3.0 - Trading Stories ,Wednesday,9,October,2013,[object Object],Studio-X,"DI:A 3.0 - Trading Stories will feature a public conversation with artists, architects, planners, scholars, and activists about how networks of mobility and trading impact Johannesburg&rsquo;s residents and its changing urban character. The evening will include the premiere public screening of three videos created by participants in Global Africa Lab&rsquo;s (GAL) Summer Workshop 2013 on Mobility and Trade: Data, Media Race + Space.<br />
<br />
GAL&rsquo;s three-week workshop brought together students and faculty from South Africa and the United States in collaboration with local activists, street traders, artists, architects, geographers, and urbanists. The workshop&rsquo;s participants utilised techniques of data spatialisation, ethnography, and digital video to research and document the dynamic streetscape of Bree Street, a major trading and informal transportation corridor in inner city Johannesburg. Unregulated street trade, as it is in many other African cities, is constituted by a range of urban actors, who collaborate across a wide range of networks, connections, and global assemblages. These flexible, mobile, and provisional intersections of residents and users often operate within, across, and against established infrastructures of control that challenge our understandings of how the city is inhabited and used. The workshop&rsquo;s exuberant and insightful videos illuminate the art of public life, the synergies between informal and formal, and the politics of movement and resistance in the commercial and domestic spaces of Bree Street.<br />
<br />
PROGRAM<br />
WEDNESDAY, OCTOBER 9 19H00 &ndash; 21H00<br />
Design Intelligence: Africa 3.0 (DI:A) - Trading Stories<br />
Organized by Global Africa Lab (GAL), Columbia University&rsquo;s GSAPP, Studio-X, MoDILA, and David Krut Projects<br />
<br />
PARTICIPANTS<br />
Abdul Abed, University of the Witswatersrand<br />
Edmund Elias, S.A. National Traders Retail Alliance (SANTRA)<br />
Thiresh Govender, UrbanWorks<br />
Stephen Hobbs, Artist and Curator<br />
Mokena Makeka, MoDILA, Makeka Design Lab<br />
Senzo Shabangu, Artist<br />
Tanya Zack, Independent Planning Consultant and Researcher<br />
<br />
VIDEOS<br />
Sabrina Barker/Rashad Palmer/Sumayya Vally<br />
Ed Molopi/Meagan Murdock/Tiffany Rattray<br />
Muhammed Dawjee/TanyaGershon/Pat Plaskocinska<br />
<br />
WORKSHOP ORGANISERS<br />
Mario Gooden, Global Africa Lab/Columbia GSAPP<br />
Mpho Matsipa, University of the Witswatersrand<br />
Solam Mkhabela, University of the Witswatersrand<br />
Carson Smuts, Studio NU/Columbia GSAPP<br />
Mabel O. Wilson, Global Africa Lab/Columbia GSAPP<br />
<br />
VENUE:<br />
Fox Street Studios, second floor <br />
280 Fox Street (Corner Fox/Kruger)<br />
The Maboneng Precinct<br />
Johannesburg, South Africa",Johannesburg,Studio-X Johannesburg
Toymaker: Modules and Systems (Giancarlo Mazzanti),Wednesday,9,October,2013,Core Series,Core Series,"Located on a mountaintop in Medell&iacute;n, Columbia, <strong>Giancarlo Mazzanti</strong>&rsquo;s <a href=""http://www.archdaily.com/2565/espana-library-giancarlo-mazzanti/"">Biblioteca Espa&ntilde;a</a> is known as much for books as the vital social programs it offers to the surrounding community. Alongside the Metrocable and Mazzanti&rsquo;s Medell&iacute;n Sports Coliseum, the city&rsquo;s new icon was part of a plan to offer &ldquo;the most beautiful for the most humble,&rdquo; as stated in a conversation between the architect and former Mayor Sergio Fajardo in <a href=""http://bombsite.com/issues/110/articles/3368""><em>BOMB Magazine</em></a>. &ldquo;The poor are habitually given crumbs,&rdquo; he continues, &ldquo;but our proposal was to give them the very best.&rdquo; In this lecture, Mazzanti presents recent work, with an emphasis on systems, modules, and a collection of original toys that will be on display in Wood Auditorium and Brownies Cafe.",New York,Wood Auditorium
"Air: Its Contents, Value, and Motion",Tuesday,8,October,2013,Panel,Studio-X,"Join us on Tuesday, October 8, at 7pm for a conversation about the stuff that&#39;s in between the buildings: <strong>air</strong>. <strong>William Bryant Logan</strong>, author of <a href=""http://www.amazon.com/gp/product/0393345394/ref=as_li_tf_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0393345394&amp;linkCode=as2&amp;tag=ediblgeogr-20"" target=""_blank""><em>Air: The Restless Shaper of the World</em></a>, architect and structural engineer <strong>Leslie Robertson</strong>, who has made many of the world&#39;s tallest buildings wind-worthy, and real estate appraiser <strong>Robert von Ancken</strong>, an expert in air rights, will share their perspective on the curious logic of the city&#39;s air rights economy, how the wind has sculpted its facades, and how the content of its air differs by neighborhood.<br />
<br />
William Bryant Logan is president of Urban Arborists, Inc., a Brooklyn-based tree company. He is on faculty at New York Botanical Gardens and is the author of&nbsp;<em>Oak</em>&nbsp;and&nbsp;<em>Dirt</em>, the latter of which was made into an award-winning documentary. <em>Air</em> was chosen as one of the 100 Notable Books of 2012 by <em>The New York Times Book Review</em>.<br />
<br />
A pioneer in structural design innovations, Leslie Robertson is the principal of Leslie E. Robertson Associates, a structural engineering consultancy that has designed three of the six tallest buildings in the world. He was the engineer of record for the World Trade Center, designing the innovative viscoelastic dampers that reduced the towers&#39; sway to within the realm of acceptability in terms of the human perception threshold.<br />
<br />
Robert Von Ancken is chairman of Landauer Valuation &amp; Advisory, a division of Newmark Grubb Knight Frank. He has over 45 years of experience in the real estate business as an appraiser, consultant, expert witness and licensed real estate broker. Appraising unusual properties and air rights is his specialty, including such New York City landmarks as Rockefeller Center, Madison Square Garden, Grand Central Terminal, Penn Station, and the World Trade Center complex.",New York,Studio-X NYC
Translation: Making Roadways into Markets in New York City,Tuesday,8,October,2013,LiPS,LiPS,"Planners are increasingly involved in making markets &ndash;for carbon, for parking and for roadway congestion.&nbsp; Using congestion pricing advocacy in New York City as an example, this talk theorizes the political work that planners, advocacy groups and local governments do when they make markets. I argue that the politics of markets are interior to the process of making them.&nbsp; Markets are not definitive things with embedded politics. They are the result of an assemblage of particular people, technologies and ideas. With this in mind, I use the concept of&nbsp; translation, from Actor-network Theory to identify three important moments in market making: 1) materializing a metaphor; 2) modeling states of the world; and 3) mobilizing publics. The talk expands on the political work that planners do at each of these moments.<br />
<br />
John West is an Urban Planning PhD Candidate at Columbia&nbsp;University.<br />
<br />
This event is a seminar format and requires prior reading and registration. To register, please email lipscolumbiaplanning@gmail.com.",New York,"Room 114, Avery Hall"
Conductor: Midtown East Redux,Monday,7,October,2013,Core Series,Core Series,"<strong>Kate Ascher, Lise Anne Couture, Andrew Dolkart, Lance Freeman,</strong> and<strong> David King</strong><br />
Response by <strong>Michael Kimmelman,</strong> <em>New York Times</em><br />
<br />
How will the Midtown Manhattan of tomorrow look and feel? GSAPP voices consider <a href=""http://www.nyc.gov/html/dcp/html/east_midtown/index.shtml"">East Midtown Rezoning</a>, including the hotly contested plan&#39;s implications for economic development, preservation, transportation, aesthetics, equity, and cultural life for the the 73-block area around Grand Central Terminal and beyond.",New York,Wood Auditorium
Urban China Series,Sunday,6,October,2013,Lecture,Urban Planning,"China is experiencing rapid urbanization, whose urban population just surpassed 50%. In its own political and soci-economic background, China has developed its own planning approach since P.R. China was founded in 1949. China is also considered as the largest testing field of new planning theories. The rapid process of urbanization of the country also arose varies planning issues, especially in the field of historical preservation and land ownerships. For example, Hutong and Siheyuan Yards in Beijing were forced to give way to modern development.&nbsp;It seems China has been developed too fast to keep up with the pace. Is this true? How&#39;s planning experts&#39; perspectives on urbanization of China?<br />
<br />
Speakers:<br />
<ul>
	<li>
		Xinmin&nbsp;HUA, inherited from his father&nbsp;Lanhong&nbsp;HUA, has spent her life studying and preserving&nbsp;Hutong&nbsp;and its land rights. She will take up from the look of Ancient Beijing City to unveil the history of land rights in China.</li>
	<li>
		Tingwei&nbsp;Zhang, Professor from Department of Urban Planning and Policy, University of Illinois at Chicago, will share with us his insight on Chinese urban planning approach, both practice and theory.</li>
</ul>
The schedule of event:<br />
<ul>
	<li>
		3:00 - 3:50 PM,&nbsp;Xinmin&nbsp;HUA,&nbsp;The History of Land Ownership in China</li>
	<li>
		3:50 - 4:20 PM,&nbsp;Xinmin&nbsp;HUA, Q &amp; A</li>
	<li>
		4:20 - 4:30 PM, Break</li>
	<li>
		4:30 - 5:15 PM,&nbsp;Tingwei&nbsp;ZHANG,&nbsp;The Chinese Urban Planning: Practice and Theory</li>
	<li>
		5:15 - 5:45 PM,&nbsp;Tingwei&nbsp;ZHANG, Q &amp; A</li>
</ul>
Register for this event:&nbsp;<a href=""http://urbanchinanetwork.eventbrite.com/"">http://urbanchinanetwork.<wbr />eventbrite.com/</a><br />
<br />
Organized by the Urban China Network, Columbia University&#39;s organization of Chinese urban planning students and scholars.<br />
<br />
",New York,"Room 114, Avery Hall"
